sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00001342008,AT_ST1,TWPID2268_ST1_AT.Run1.R1.fastq.gz,EGAF00000923378
EGAN00001342008,AT_ST1,TWPID2268_ST1_AT.Run1.R2.fastq.gz,EGAF00000923379
EGAN00001342009,AT_ST2,TWPID3775_ST2_AT.Run1.R1.fastq.gz,EGAF00000923382
EGAN00001342009,AT_ST2,TWPID3775_ST2_AT.Run1.R2.fastq.gz,EGAF00000923383
EGAN00001342010,AT_ST3,TWPID4446_ST3_AT.Run1.R1.fastq.gz,EGAF00000923384
EGAN00001342010,AT_ST3,TWPID4446_ST3_AT.Run1.R2.fastq.gz,EGAF00000923385
EGAN00001342010,AT_ST3,TWPID4446_ST3_AT.Run2.R1.fastq.gz,EGAF00000923386
EGAN00001342010,AT_ST3,TWPID4446_ST3_AT.Run2.R2.fastq.gz,EGAF00000923387
EGAN00001342011,AT_ST4,TWPID11785_ST4_AT.Run1.R1.fastq.gz,EGAF00000923143
EGAN00001342011,AT_ST4,TWPID11785_ST4_AT.Run1.R2.fastq.gz,EGAF00000923144
EGAN00001342011,AT_ST4,TWPID11785_ST4_AT.Run2.R1.fastq.gz,EGAF00000923145
EGAN00001342011,AT_ST4,TWPID11785_ST4_AT.Run2.R2.fastq.gz,EGAF00000923146
EGAN00001342012,AT_ST5,TWPID11986_ST5_AT.Run1.R1.fastq.gz,EGAF00000923153
EGAN00001342012,AT_ST5,TWPID11986_ST5_AT.Run1.R2.fastq.gz,EGAF00000923154
EGAN00001342012,AT_ST5,TWPID11986_ST5_AT.Run2.R1.fastq.gz,EGAF00000923155
EGAN00001342012,AT_ST5,TWPID11986_ST5_AT.Run2.R2.fastq.gz,EGAF00000923156
EGAN00001342013,AT_ST6,TWPID10695_ST6_AT.Run1.R1.fastq.gz,EGAF00000923338
EGAN00001342013,AT_ST6,TWPID10695_ST6_AT.Run1.R2.fastq.gz,EGAF00000923339
EGAN00001342013,AT_ST6,TWPID10695_ST6_AT.Run2.R1.fastq.gz,EGAF00000923340
EGAN00001342013,AT_ST6,TWPID10695_ST6_AT.Run2.R2.fastq.gz,EGAF00000923341
EGAN00001342014,AT_ST7,TWPID7110_ST7_AT.Run1.R1.fastq.gz,EGAF00000923065
EGAN00001342014,AT_ST7,TWPID7110_ST7_AT.Run1.R2.fastq.gz,EGAF00000923066
EGAN00001342014,AT_ST7,TWPID7110_ST7_AT.Run2.R1.fastq.gz,EGAF00000923067
EGAN00001342014,AT_ST7,TWPID7110_ST7_AT.Run2.R2.fastq.gz,EGAF00000923068
EGAN00001342014,AT_ST7,TWPID7110_ST7_AT.Run3.R1.fastq.gz,EGAF00000923069
EGAN00001342014,AT_ST7,TWPID7110_ST7_AT.Run3.R2.fastq.gz,EGAF00000923070
EGAN00001342014,AT_ST7,TWPID7110_ST7_AT.Run4.R1.fastq.gz,EGAF00000923071
EGAN00001342014,AT_ST7,TWPID7110_ST7_AT.Run4.R2.fastq.gz,EGAF00000923072
EGAN00001342015,AT_ST8,TWPID14964_ST8_AT.Run1.R1.fastq.gz,EGAF00000923167
EGAN00001342015,AT_ST8,TWPID14964_ST8_AT.Run1.R2.fastq.gz,EGAF00000923168
